,network_name,train_pred,test_pred,RMSE_train,RMSE_test,NMSE_train,NMSE_test,total_nodes,learning_time,n_network,E,NMSE_test,num_nodes,Win_strength,Win_sparsity,n_neighbors
179,Combined_Network,0.9914,0.9911,0.0301,0.0303,0.0028248,0.002976,896,0.08,180,896,0.0404673,4,1.3,0.3,5
180,Combined_Network,0.9915,0.9911,0.0301,0.0303,0.0028189,0.0029843,899,0.08,181,899,0.0404673,4,1.3,0.3,5
181,Combined_Network,0.9915,0.991,0.03,0.0303,0.0028162,0.0029862,902,0.08,182,902,0.0404673,4,1.3,0.3,5
182,Combined_Network,0.9915,0.9911,0.03,0.0303,0.0028098,0.002985,908,0.07,183,908,0.0404673,4,1.3,0.3,5
183,Combined_Network,0.9917,0.9914,0.0296,0.0297,0.0027305,0.0028587,912,0.06,184,912,0.0404673,4,1.3,0.3,5
184,Combined_Network,0.9917,0.9914,0.0295,0.0296,0.0027236,0.0028487,928,0.09,185,928,0.0404673,4,1.3,0.3,5
185,Combined_Network,0.9918,0.9914,0.0295,0.0296,0.0027205,0.0028493,932,0.08,186,932,0.0404673,4,1.3,0.3,5
186,Combined_Network,0.9918,0.9914,0.0295,0.0296,0.0027173,0.0028469,939,0.07,187,939,0.0404673,4,1.3,0.3,5
187,Combined_Network,0.9918,0.9915,0.0295,0.0296,0.0027088,0.0028388,944,0.09,188,944,0.0404673,4,1.3,0.3,5
188,Combined_Network,0.9918,0.9915,0.0294,0.0295,0.0026938,0.0028193,950,0.07,189,950,0.0404673,4,1.3,0.3,5
189,Combined_Network,0.9919,0.9915,0.0293,0.0295,0.0026754,0.002817,976,0.08,190,976,0.0404673,4,1.3,0.3,5
190,Combined_Network,0.9919,0.9916,0.0292,0.0294,0.0026575,0.0028025,980,0.09,191,980,0.0404673,4,1.3,0.3,5
191,Combined_Network,0.992,0.9916,0.0291,0.0293,0.0026418,0.002783,994,0.08,192,994,0.0404673,4,1.3,0.3,5
192,Combined_Network,0.992,0.9917,0.029,0.0292,0.0026286,0.0027656,1004,0.07,193,1004,0.0404673,4,1.3,0.3,5
193,Combined_Network,0.9922,0.9918,0.0288,0.0289,0.002583,0.0027095,1021,0.1,194,1021,0.0404673,4,1.3,0.3,5
